player_name,image_filename,is_retained,retaining_team_name,last_year_price,role,last_team,overall_matches,overall_runs,overall_wickets,overall_sr,overall_hs,batting_inn,batting_avg,bowling_inn,bowling_avg,econ,bbi
DURAIRAJ RAJENDIRAN,durairaj_rajendran.png,FALSE,,,,-,26,437,20,108.98,54,25,19,17,15.25,7.44,
JAYAKUMAR JAMBULINGAM,jayakumar_jambulingam.png,FALSE,,,,-,85,567,117,103.47,62,63,14.56,82,13.92,5.41,5(11)
SIVARAJ KOLANJI,sivaraj.png,FALSE,,,UNIVERSAL CC,UNIVERSAL CC,118,2582,74,120.77,77,109,28.37,84,18.16,7,4(11)
TAMIZHARASAN MURUGAN,thamizharasan_murugan.png,FALSE,,,,-,75,981,3,139.74,75,66,16.35,3,22.33,10.86,2(18)
KAVIYARASAN KANAN,kaviyarasan_kannan.png,FALSE,,,"KALAI VICTORY
CRICKET","KALAI VICTORY
CRICKET",167,1005,187,87.85,54,115,10.58,147,14.98,5.31,5(22)
KAMALAKANNAN DEIVAKANNU,kamalakannan_deivakannu.png,FALSE,,,,NO,13,307,1,178.49,74,12,25.58,1,22,5.5,1(22)
PRAKASH THANAPAL,prakash_thanapal.png,FALSE,-,,ELITE STRIKERS,ELITE STRIKERS,13,8,0,25,4,9,1.33,1,0,0,0/0
KANNAN SUBRAMANIYAN,kannan_subramaniyan.png,FALSE,-,,"NOT PLAYED TILL
NOW","NOT PLAYED TILL
NOW",209,3266,249,110.23,110,176,23,165,12.27,5.42,5(23)
HAKKIM SATE JAFARI ALI,hakkim_sate_jafar_ali.png,FALSE,-,,,,140,1174,162,90.73,64,95,5.9,140,12.86,4.89,5(18)
SUDHANRAJ RAJENDIRAN,sudhanraj_rajendran.jpeg,FALSE,-,,"SOORYA CDM
SHARKS","SOORYA CDM
SHARKS",65,917,51,117.26,97,60,16.98,47,17.33,6.58,4(19)
KARTHIKEYAN SAKKARAPANI,karthikeyan_sakkarapani.jpeg,FALSE,-,,,NO,27,338,24,125.65,63,23,16.9,16,13.71,5.76,3(9)
SIVA SAKKARABANI,siva_sakkarapani.png,FALSE,-,,APJ BOYS,APJ BOYS,16,109,14,76.76,23,13,21.8,15,20.36,6.58,3(23)
SIVAKUMAR CHINNADURAI,sivakumar_csk.png,FALSE,-,,ELITE STRIKERS,ELITE STRIKERS,204,2696,214,107.15,74,158,25.2,170,15.93,6.51,8(35)
NAVEEN THILLAI GOVINDAN,naveen_thillaigovindhan.jpeg,FALSE,-,,APJ BOYS,APJ BOYS,92,355,49,57.82,28,60,6.7,49,8.53,2.97,3(6)
PREMKUMAR RAJALINGAM,premkumar_rajalingam.png,FALSE,-,,,,308,6758,270,53.5,136,291,127.9,306,15.71,6.26,5(33)
RAM CHANDRAN RAMANUJAM,,FALSE,-,,,,80,619,2,121.14,58,63,10.32,4,20.5,7.45,2(24)
DEVAKUMAR SIVAKUMAR,devakumar_sivakumar.png,FALSE,-,,,,220,4929,115,124.75,139,199,27.38,120,21.65,7.42,5(33)
KATHIRAVAN JAYAVEL,kathiravan.png,FALSE,-,,"UNIVERSAL
CRICKET CLUB","UNIVERSAL
CRICKET CLUB",86,307,123,88.22,39,50,8.77,79,13.24,5.49,5(9)
MANO MURUGAN,mano_murugan.png,FALSE,-,,ACA,ACA,28,219,5,69.87,35,22,13.69,11,31,7.38,3(22)
"SATHAKATHULLA ABDUL
RASHEED",ar_sathakathulla.png,FALSE,-,,,,171,1702,253,93.47,68,153,13.96,166,16.89,1.56,5(14)
BOOVARAGAVAN SOMU,boovaraghavan.png,FALSE,Crazy-11,,MIGHTY,MIGHTY,94,1211,7,145.03,65,85,15.93,10,13.43,5.88,3(16)
